"Store,lat,long,Metric Store,pop_metric_balltree,pop_metric_idw"
"Store 1,50.415258,30.522344,2.182984967003582,2.2084480478438433,2.256927079452018"
"Store 2,50.495292,30.512299,2.636888906983799,2.3937283262300797,2.3910924511066334"
"Store 3,50.414301,30.650869,2.503790683057181,2.3097038733522215,2.367799691908168"
"Store 4,50.471703,30.47874,2.376576957056512,2.084600234852634,2.0840859029466765"
"Store 5,50.532248,30.608288,2.3408405498123317,2.5162527271456105,2.4902242285166643"
"Store 6,50.441108,30.520819,2.1595671932336202,1.9524425396772107,1.926784006321576"
"Store 7,50.518478,30.45828,2.4056877866727775,2.1829167926901345,2.267347999535497"
"Store 8,50.49556,30.358346,2.3654879848909,2.1537462558500122,2.136060025726712"
"Store 9,50.462101,30.481258,2.781108835729466,2.0514783197735413,2.0551460138432813"
"Store 10,50.445203,30.444036,2.6270584640009895,2.0871212736653533,2.112328394288608"
"Store 11,50.411143,30.40476,2.182414652434554,2.0556699917472105,2.1838246899618645"
"Store 12,50.40711,30.66618,2.582744965691277,2.3851543593958686,2.3564611071955555"
"Store 13,50.493389,30.576474,2.34966598409663,2.2873398063134704,2.3271753944795024"
"Store 14,50.500799,30.450873,2.3510228525841237,2.1859008445501855,2.143556648968425"
"Store 15,50.520226,30.51452,2.754348335711019,2.373738105196231,2.374052810563109"
"Store 16,50.509914,30.50591,2.5659658174466666,2.3779735915423963,2.391918150368556"
"Store 17,50.497957,30.517891,2.2940250940953226,2.386954101552013,2.4191098926160057"
"Store 18,50.505198,30.512144,2.401745082237063,2.3709122898209376,2.4051207317373318"
"Store 19,50.462079,30.494244,2.2615007731982804,1.9682883839605294,2.1517689166893517"
"Store 20,50.431315,30.383651,2.51067903103221,2.2712513930904157,2.247097100628804"
"Store 21,50.44743,30.49444,2.50745106090197,1.955457987705486,1.9455119202902094"
"Store 22,50.405393,30.631846,2.230448921378274,2.592910710592124,2.68094845365381"
"Store 23,50.464371,30.610285,2.4581844355702627,2.2305999188672794,2.309046837860838"
"Store 24,50.405591,30.611193,2.6080979463252794,2.6242295792772343,2.624337005347132"
"Store 25,50.399276,30.616704,2.742175043223677,2.6022671497883794,2.61485846256619"
"Store 26,50.470626,30.461664,2.0149403497929366,2.0517855735694472,2.081632807689111"
"Store 27,50.414054,30.636607,2.5299434016586693,2.460224099684204,2.5227306812579977"
"Store 28,50.41074,30.545757,2.3087777736647213,2.200630038409241,2.3162533500598124"
"Store 29,50.502558,30.605179,2.631950826259217,2.3649387585880386,2.380888046499668"
"Store 30,50.513155,30.623016,2.5150786750759226,2.4594273201668044,2.4676158765056653"
"Store 31,50.507233,30.44086,2.2591158441850663,2.2170793614576563,2.2134821742727078"
"Store 32,50.417252,30.618417,2.2709116394104814,2.473198524151871,2.52895100358495"
"Store 33,50.505279,30.453488,2.4316853446860116,2.2059392434255054,2.1236528268767136"
"Store 34,50.401534,30.564091,2.498586208817518,2.1208013030033093,2.113519647852219"
"Store 35,50.451393,30.63235,2.2973227142053028,2.097103679985201,2.043570402822498"
"Store 36,50.492563,30.599994,2.516667559099043,2.265976365952979,2.253655353699864"
"Store 37,50.373832,30.446797,2.495821753385906,2.305877783922052,2.3411436680461772"
"Store 38,50.424666,30.383076,2.3780343224573315,2.2782503742820244,2.3178410085353103"
"Store 39,50.384299,30.45815,2.5733358400660675,2.259049913309541,2.3750816643029187"
"Store 40,50.4272,30.530629,2.3062105081677613,2.054513105710724,2.3819174981246216"
"Store 41,50.516616,30.601924,2.8163075994319398,2.4474662924249646,2.4587669467857136"
"Store 42,50.435939,30.489985,2.3382572302462554,1.975132377128495,1.9988319216658776"
"Store 43,50.484819,30.639434,2.4302363534115106,2.31250614694,2.350793525447665"
"Store 44,50.460746,30.642653,2.3106933123433606,2.1691294915879267,2.212033342216935"
"Store 45,50.416525,30.519005,2.3679147387937527,2.1963711531496797,2.221661490747759"
"Store 46,50.503042,30.506489,2.370142847051102,2.373536533682729,2.3737499275328853"
"Store 47,50.505331,30.491009,2.363235804483694,2.3823396264085286,2.3976524780662167"
"Store 48,50.517409,30.616649,2.636788689034375,2.4630354178617293,2.4916570818795427"
"Store 49,50.508721,30.607418,2.574147064150723,2.434746150811116,2.408793719233695"
"Store 50,50.533542,30.600594,2.3136563466180315,2.514852164281066,2.518265390325581"
"Store 51,50.522658,30.451686,2.3684728384403617,2.2140724025794265,2.2600830147788997"
"Store 52,50.397688,30.638267,2.60788374435699,2.5739574997545196,2.5689927161021253"
"Store 53,50.519076,30.501747,2.1562461903973444,2.370231459830564,2.341032809962982"
"Store 54,50.512704,30.496875,2.595606434865603,2.36138957021507,2.401652110567025"
"Store 55,50.509463,30.497693,2.654465333520146,2.369591786287477,2.3864780517003927"
"Store 56,50.519204,30.4985,2.5548524343720547,2.371631077556058,2.3515182044611334"
"Store 57,50.471374,30.502307,2.345569756056392,1.9330301509652335,1.9440049745963635"
"Store 58,50.427943,30.593448,2.5260806918020298,2.319919697815914,2.432935968055422"
"Store 59,50.456693,30.38344,2.506234359612126,2.1397650758781745,2.1113313533832945"
"Store 60,50.451306,30.467988,2.725012725341157,2.0664908948851624,2.161951006821992"
"Store 61,50.453158,30.447263,2.5692568333286103,2.1174010154268803,2.153835653668611"
"Store 62,50.459056,30.39885,2.6662370958958044,2.0337989612487397,2.0620988909608617"
"Store 63,50.484534,30.595457,2.6193020758756083,2.228406575510872,2.1442848194943553"
"Store 64,50.519427,30.465297,2.5504729571065634,2.25570558097912,2.3415161299904486"
"Store 65,50.525035,30.50362,2.36078268987328,2.3690049064965644,2.3346430576520274"
"Store 66,50.472025,30.337587,2.540954808926133,2.4044084054338764,2.4049635856721174"
"Store 67,50.510505,30.419726,2.5671440451956573,2.254323278806795,2.294085758440237"
"Store 68,50.504688,30.428548,2.508798965403905,2.229755072052427,2.296237635806906"
"Store 69,50.504707,30.437289,2.668199484198662,2.2143007709744813,2.2502447638889755"
"Store 70,50.486647,30.585121,2.4068806700491248,2.227725451165541,2.2419760067596974"
"Store 71,50.491599,30.5833,2.2496874278053016,2.2436720241713983,2.274665297030988"
"Store 72,50.412018,30.644346,2.533772058384718,2.4311792108398462,2.4821692185010584"
"Store 73,50.439748,30.592387,2.3951515915045425,2.279380984399424,2.4631681765595306"
"Store 74,50.462439,30.519044,2.531478917042255,1.9033484739903521,1.8617090142773691"
"Store 75,50.456052,30.497252,2.505149978319906,1.9466940260341108,1.941343641928459"
"Store 76,50.496642,30.4626,2.1455071714096627,2.164243053089302,2.1742171710908917"
"Store 77,50.438757,30.523178,2.73870130043471,1.9722132319641212,1.95414038413973"
"Store 78,50.400937,30.631575,2.3012470886362113,2.5930232865571026,2.6017697084800644"
"Store 79,50.484746,30.604443,2.3525683861793087,2.2187256890959532,2.176723878388665"
"Store 80,50.340938,30.550683,1.9731278535996988,2.26856388790224,2.26856388790224"
"Store 81,50.416111,30.53186,2.2986347831244354,2.2014204439982437,2.228805974219269"
"Store 82,50.421521,30.649937,2.6336704060514435,2.2621945333274103,2.213561209063029"
"Store 83,50.414165,30.661806,2.625209525381881,2.2443364527329672,2.2657717800552026"
"Store 84,50.427168,30.6392,2.1024337056813365,2.1727002151795265,2.175837771220363"
"Store 85,50.427084,30.459089,2.3928727454020793,2.083499973484608,2.075478410610649"
"Store 86,50.432254,30.455303,2.2629254693318317,2.080605186237482,2.0236798199748525"
"Store 87,50.455945,30.345746,2.2425414282983844,2.3467279293582175,2.3986225832211643"
"Store 88,50.456321,30.593928,2.479143247978613,2.347670929881444,2.4015657200740046"
"Store 89,50.453254,30.598383,2.2357808703275603,2.2954946940237777,2.3392798565105757"
"Store 90,50.472699,30.406233,2.236537261488694,1.966943724675358,2.132547696753036"
"Store 91,50.411725,30.412683,2.419625360887743,2.1153605533423074,2.200281484759657"
"Store 92,50.47131,30.517505,2.485153349903652,1.8869447545172628,1.8774361431462034"
